src_ip,dst_ip,src_port,dst_port,protocol,service,payload_length,duration,is_malicious,attack_type,timestamp
10.0.0.18,10.0.0.9,60745,22,tcp,ssh,297,0.688,0,,2025-04-23T17:39:10.208034
10.0.0.10,10.0.0.16,61577,1433,tcp,db,490,0.666,0,,2025-04-23T17:47:40.741365
10.0.0.1,10.0.0.19,61586,53,udp,dns,1189,0.238,0,,2025-04-23T17:39:21.596642
10.0.0.14,10.0.0.10,55303,53,udp,dns,1139,0.203,0,,2025-04-23T17:40:46.053629
10.0.0.10,10.0.0.11,59184,587,tcp,smtp,107,0.474,1,,2025-04-23T17:47:57.835482
10.0.0.11,10.0.0.16,65383,25,tcp,smtp,778,0.328,0,,2025-04-23T17:40:11.838321
10.0.0.11,10.0.0.11,63709,993,tcp,imap,651,0.855,0,,2025-04-23T17:36:47.579117
10.0.0.1,10.0.0.13,61494,143,tcp,imap,99,0.72,1,,2025-04-23T17:32:00.339977
10.0.0.14,10.0.0.1,62482,3389,tcp,rdp,1204,0.701,0,,2025-04-23T18:16:51.258201
10.0.0.1,10.0.0.12,54866,20,tcp,ftp,629,0.436,0,,2025-04-23T18:12:24.869537
10.0.0.11,10.0.0.7,64978,995,tcp,pop3,1073,0.928,1,,2025-04-23T18:10:50.280597
10.0.0.17,10.0.0.15,55571,3389,tcp,rdp,1233,0.367,0,,2025-04-23T17:47:23.683230
10.0.0.14,10.0.0.1,54476,123,udp,ntp,556,0.289,0,,2025-04-23T18:21:56.529240
10.0.0.19,10.0.0.2,54453,443,tcp,web,95,0.108,0,,2025-04-23T17:50:36.115581
10.0.0.1,10.0.0.15,50785,143,tcp,imap,1079,0.6,0,,2025-04-23T17:34:59.726690
10.0.0.20,10.0.0.3,51873,587,tcp,smtp,85,0.091,0,,2025-04-23T18:01:25.523013
10.0.0.5,10.0.0.2,64244,23,tcp,telnet,162,0.902,0,,2025-04-23T17:40:54.148192
10.0.0.1,10.0.0.20,50405,123,udp,ntp,594,0.833,0,,2025-04-23T18:26:41.186627
10.0.0.3,10.0.0.3,55519,5432,tcp,db,1368,0.016,0,,2025-04-23T18:06:41.248740
10.0.0.2,10.0.0.18,53316,23,tcp,telnet,494,0.317,0,,2025-04-23T17:37:44.433730
10.0.0.16,10.0.0.10,64401,445,tcp,smb,1373,0.988,1,,2025-04-23T18:14:14.855658
10.0.0.11,10.0.0.11,58415,22,tcp,ssh,1130,0.048,0,,2025-04-23T18:13:23.525493
10.0.0.3,10.0.0.14,49850,123,udp,ntp,139,0.165,0,,2025-04-23T17:34:34.065110
10.0.0.15,10.0.0.18,56044,23,tcp,telnet,1450,0.589,0,,2025-04-23T17:50:03.885676
10.0.0.17,10.0.0.5,60588,20,tcp,ftp,1363,0.954,0,,2025-04-23T18:29:21.015332
10.0.0.14,10.0.0.10,49982,23,tcp,telnet,249,0.472,1,,2025-04-23T18:02:39.750978
10.0.0.19,10.0.0.20,62638,23,tcp,telnet,562,0.173,0,,2025-04-23T18:11:33.857030
10.0.0.9,10.0.0.3,49175,110,tcp,pop3,512,0.082,0,,2025-04-23T17:49:11.056051
10.0.0.20,10.0.0.7,63534,23,tcp,telnet,1358,0.386,1,,2025-04-23T17:59:52.061115
10.0.0.9,10.0.0.10,65080,53,udp,dns,1453,0.526,1,,2025-04-23T18:02:41.547258
10.0.0.12,10.0.0.4,63782,21,tcp,ftp,1284,0.259,0,,2025-04-23T18:24:33.696083
10.0.0.20,10.0.0.18,52999,23,tcp,telnet,742,0.232,0,,2025-04-23T18:07:16.841141
10.0.0.17,10.0.0.16,60920,23,tcp,telnet,525,0.935,1,,2025-04-23T18:06:17.346836
10.0.0.17,10.0.0.4,55453,587,tcp,smtp,65,0.089,1,,2025-04-23T18:15:08.720273
10.0.0.14,10.0.0.10,62951,22,tcp,ssh,960,0.886,0,,2025-04-23T17:37:17.861826
10.0.0.7,10.0.0.19,57299,22,tcp,ssh,164,0.208,0,,2025-04-23T18:23:23.775441
10.0.0.17,10.0.0.10,53122,443,tcp,web,1194,0.009,0,,2025-04-23T18:00:20.280413
10.0.0.6,10.0.0.6,51277,995,tcp,pop3,997,0.487,0,,2025-04-23T18:05:24.633363
10.0.0.19,10.0.0.2,55426,445,tcp,smb,1257,0.259,0,,2025-04-23T17:56:47.418488
10.0.0.18,10.0.0.5,54144,22,tcp,ssh,1168,0.892,0,,2025-04-23T18:07:16.848076
10.0.0.2,10.0.0.3,49797,20,tcp,ftp,810,0.829,1,,2025-04-23T18:17:09.869893
10.0.0.15,10.0.0.4,50665,23,tcp,telnet,1265,0.774,1,,2025-04-23T18:23:36.581935
10.0.0.4,10.0.0.7,51976,443,tcp,web,132,0.597,0,,2025-04-23T18:03:20.685756
10.0.0.15,10.0.0.4,58910,993,tcp,imap,1171,0.117,0,,2025-04-23T18:28:38.282340
10.0.0.2,10.0.0.13,49155,3389,tcp,rdp,114,0.688,0,,2025-04-23T17:52:05.090111
10.0.0.7,10.0.0.3,60106,25,tcp,smtp,275,0.111,0,,2025-04-23T17:45:59.095429
10.0.0.13,10.0.0.12,55934,993,tcp,imap,1138,0.464,0,,2025-04-23T18:21:43.734807
10.0.0.7,10.0.0.9,65417,22,tcp,ssh,1281,0.446,0,,2025-04-23T18:04:45.641416
10.0.0.4,10.0.0.1,65094,8443,tcp,web,806,0.642,0,,2025-04-23T18:04:09.320031
10.0.0.10,10.0.0.15,54686,445,tcp,smb,604,0.733,0,,2025-04-23T18:23:29.506728
10.0.0.12,10.0.0.2,57324,445,tcp,smb,1223,0.944,1,,2025-04-23T17:50:27.558841
10.0.0.7,10.0.0.8,62121,993,tcp,imap,434,0.011,0,,2025-04-23T17:35:15.882227
10.0.0.20,10.0.0.2,59487,3389,tcp,rdp,97,0.424,0,,2025-04-23T17:49:17.295509
10.0.0.17,10.0.0.17,50803,5432,tcp,db,363,0.476,0,,2025-04-23T17:37:10.907270
10.0.0.13,10.0.0.7,61074,110,tcp,pop3,82,0.207,0,,2025-04-23T18:18:41.102015
10.0.0.7,10.0.0.10,62571,25,tcp,smtp,1043,0.474,0,,2025-04-23T17:53:16.121947
10.0.0.6,10.0.0.20,53193,443,tcp,web,1094,0.759,0,,2025-04-23T18:13:55.489361
10.0.0.13,10.0.0.10,62143,993,tcp,imap,94,0.982,0,,2025-04-23T18:21:43.750079
10.0.0.20,10.0.0.20,62307,123,udp,ntp,1050,0.969,1,,2025-04-23T18:10:35.955806
10.0.0.6,10.0.0.19,49283,23,tcp,telnet,1356,0.321,1,,2025-04-23T17:51:02.412890
10.0.0.13,10.0.0.3,49659,8080,tcp,web,646,0.629,1,,2025-04-23T17:42:56.384071
10.0.0.13,10.0.0.14,58743,3389,tcp,rdp,763,0.639,0,,2025-04-23T18:21:39.986762
10.0.0.2,10.0.0.19,63372,1433,tcp,db,1200,0.609,1,,2025-04-23T18:04:51.580290
10.0.0.6,10.0.0.11,55772,20,tcp,ftp,200,0.994,0,,2025-04-23T17:48:42.332238
